Primary_Keywords,Search_Volume_Est,Competition,Intent
oil gas employee wellness programs,1200,Medium,Commercial
petroleum industry mental health,890,High,Informational
energy sector addiction recovery,1500,High,Commercial
oilfield worker wellness,750,Low,Informational
oil gas EAP programs,650,Medium,Commercial
executive recovery programs,450,Low,Commercial
oil gas employee assistance,980,Medium,Commercial
energy industry mental health services,1100,High,Informational
petroleum worker addiction treatment,680,Medium,Commercial
oil gas rotation schedule wellness,520,Low,Informational
