Local_Keywords,Search_Volume_Est,Competition,Intent
Calgary oil gas employee wellness,180,Low,Commercial
Edmonton petroleum mental health services,120,Low,Commercial
Saskatoon energy worker addiction treatment,85,Very Low,Commercial
Regina oil gas employee assistance,95,Very Low,Commercial
Vancouver energy sector wellness programs,160,Medium,Commercial
Fort McMurray oilfield worker mental health,140,Low,Commercial
Grande Prairie oil gas wellness coordinator,75,Very Low,Commercial
Lloydminster petroleum employee support,65,Very Low,Commercial
Medicine Hat energy industry wellness,55,Very Low,Commercial
Red Deer oil gas mental health programs,70,Very Low,Commercial
