Long_tail_Keywords,Search_Volume_Est,Competition,Intent
Alberta oil gas employee mental health programs,320,Low,Commercial
Saskatchewan petroleum worker addiction recovery,210,Low,Commercial
BC energy sector wellness coordinators,180,Low,Commercial
14 day executive addiction treatment program,150,Very Low,Commercial
28 day virtual recovery program oil workers,290,Low,Commercial
oil gas shift worker mental health support,420,Medium,Informational
petroleum industry employee retention wellness,380,Low,Commercial
energy sector absenteeism reduction programs,340,Medium,Commercial
oilfield stress management rotation schedules,280,Low,Informational
oil gas workplace safety mental health,460,Medium,Commercial
energy company EAP employee assistance programs,520,Medium,Commercial
oil gas HR wellness program ROI,190,Low,Commercial
petroleum executive confidential addiction treatment,110,Very Low,Commercial
virtual recovery program remote oil workers,240,Low,Commercial
oil gas industry substance abuse costs,350,Medium,Informational
